,events.out.tfevents.1556049459.xinyan
0,2.383751392364502
235,0.15605053305625916
470,0.10127890855073929
705,0.060314469039440155
940,0.05437374860048294
1175,0.02750995382666588
1410,0.04314872622489929
1645,0.03878551349043846
1880,0.03408236801624298
2115,0.03079337812960148
2350,0.05804739519953728
2585,0.017622746527194977
2820,0.014963552355766296
3055,0.011699547059834003
3290,0.021680936217308044
3525,0.01945699378848076
3760,0.022206204012036324
3995,0.01532931812107563
4230,0.017374273389577866
4465,0.02195892296731472
4700,0.012771815061569214
