,events.out.tfevents.1556050338.xinyan
0,17.09000015258789
235,96.43000030517578
470,96.94000244140625
705,97.63999938964844
940,97.66000366210938
1175,97.55999755859375
1410,97.3499984741211
1645,97.58000183105469
1880,97.81999969482422
2115,97.91999816894531
2350,97.95999908447266
2585,98.16999816894531
2820,98.20999908447266
3055,98.16000366210938
3290,98.22000122070312
3525,98.20999908447266
3760,98.23999786376953
3995,98.20999908447266
4230,98.19999694824219
4465,98.20999908447266
4700,98.26000213623047
