,events.out.tfevents.1556053352.xinyan
0,25.420000076293945
235,93.30000305175781
470,94.26000213623047
705,95.47000122070312
940,96.01000213623047
1175,96.37000274658203
1410,95.72000122070312
1645,96.38999938964844
1880,96.05000305175781
2115,96.2699966430664
2350,96.41999816894531
2585,96.19000244140625
2820,96.08999633789062
3055,96.16999816894531
3290,96.41999816894531
3525,96.62999725341797
3760,96.37999725341797
3995,96.37000274658203
4230,96.80000305175781
4465,96.54000091552734
4700,96.63999938964844
