,events.out.tfevents.1556053352.xinyan
0,2.383751392364502
235,0.11096256971359253
470,0.11584343016147614
705,0.15501879155635834
940,0.04759635776281357
1175,0.10569271445274353
1410,0.0729360431432724
1645,0.061413686722517014
1880,0.06380018591880798
2115,0.048718228936195374
2350,0.06539566814899445
2585,0.02515334263443947
2820,0.06465671211481094
3055,0.05410388484597206
3290,0.07843490689992905
3525,0.06442897021770477
3760,0.0668623149394989
3995,0.09979003667831421
4230,0.10092750191688538
4465,0.06863760948181152
4700,0.023510996252298355
