,events.out.tfevents.1556049251.xinyan
0,32.810001373291016
235,96.43000030517578
470,97.19999694824219
705,97.48999786376953
940,97.72000122070312
1175,97.83999633789062
1410,97.97000122070312
1645,97.86000061035156
1880,97.88999938964844
2115,97.8499984741211
2350,98.0199966430664
2585,97.88999938964844
2820,98.04000091552734
3055,97.79000091552734
3290,97.9800033569336
3525,98.16000366210938
3760,98.2300033569336
3995,97.95999908447266
4230,98.13999938964844
4465,98.05000305175781
4700,97.83000183105469
