,events.out.tfevents.1556049251.xinyan
0,2.306497812271118
235,0.05580495297908783
470,0.09251514077186584
705,0.03200341761112213
940,0.041854195296764374
1175,0.023792888969182968
1410,0.021011214703321457
1645,0.027221165597438812
1880,0.02180301956832409
2115,0.015584226697683334
2350,0.00933106429874897
2585,0.024071473628282547
2820,0.03274796903133392
3055,0.031200021505355835
3290,0.011954981833696365
3525,0.016982359811663628
3760,0.014979396015405655
3995,0.020644066855311394
4230,0.01960335299372673
4465,0.016093546524643898
4700,0.030034301802515984
