,events.out.tfevents.1556936818.gpu5.cse.cuhk.edu.hk
195,31.399999618530273
391,43.72999954223633
587,51.779998779296875
783,63.2400016784668
979,68.8499984741211
1175,72.3499984741211
1371,76.27999877929688
1567,76.62999725341797
1763,77.05999755859375
1959,80.30999755859375
2155,80.80000305175781
2351,83.30999755859375
2547,81.79000091552734
2743,80.8499984741211
2939,83.20999908447266
3135,81.58000183105469
3331,81.56999969482422
3527,84.31999969482422
3723,83.94999694824219
3919,84.45999908447266
4115,84.75
4311,83.0
4507,84.68000030517578
4703,84.5199966430664
4899,84.08000183105469
5095,85.29000091552734
5291,83.4800033569336
5487,84.44000244140625
5683,84.27999877929688
5879,85.33999633789062
6075,83.5199966430664
6271,85.08999633789062
6467,85.81999969482422
6663,82.93000030517578
6859,83.55000305175781
7055,86.16000366210938
7251,82.66999816894531
7447,84.01000213623047
7643,85.45999908447266
7839,86.45999908447266
8035,87.29000091552734
8231,85.26000213623047
8427,85.0199966430664
8623,85.38999938964844
8819,85.16999816894531
9015,86.62000274658203
9211,85.69000244140625
9407,86.87000274658203
9603,85.69999694824219
9799,85.97000122070312
9995,91.4800033569336
10191,92.08999633789062
10387,92.36000061035156
10583,92.5
10779,92.62000274658203
10975,92.44999694824219
11171,92.47000122070312
11367,92.5199966430664
11563,92.5999984741211
11759,92.6500015258789
11955,92.5199966430664
12151,92.61000061035156
12347,92.58000183105469
12543,92.83000183105469
12739,92.44000244140625
12935,92.80999755859375
13131,92.52999877929688
13327,92.62999725341797
13523,92.58000183105469
13719,92.56999969482422
13915,92.88999938964844
14111,92.98999786376953
14307,92.81999969482422
14503,93.05000305175781
14699,92.87999725341797
14895,93.19999694824219
15091,92.97000122070312
15287,93.13999938964844
15483,92.91000366210938
15679,93.18000030517578
15875,92.94999694824219
16071,92.98999786376953
16267,93.2699966430664
16463,93.12000274658203
16659,93.2699966430664
16855,92.81999969482422
17051,92.9800033569336
17247,92.80999755859375
17443,92.7300033569336
17639,92.80000305175781
17835,93.08999633789062
18031,92.93000030517578
18227,93.05999755859375
18423,92.5
18619,93.01000213623047
18815,93.12999725341797
19011,92.9800033569336
19207,93.01000213623047
19403,92.72000122070312
19599,93.1500015258789
19795,92.7300033569336
19991,93.0
20187,92.86000061035156
20383,92.9800033569336
20579,93.12000274658203
20775,92.66000366210938
20971,93.05999755859375
21167,93.12999725341797
21363,93.01000213623047
21559,92.94000244140625
21755,93.02999877929688
21951,92.83000183105469
22147,92.91000366210938
22343,92.79000091552734
22539,93.0199966430664
22735,92.83000183105469
22931,92.69999694824219
23127,92.95999908447266
23323,92.69000244140625
23519,92.97000122070312
23715,92.54000091552734
23911,92.86000061035156
24107,92.77999877929688
24303,92.77999877929688
