,events.out.tfevents.1556935979.gpu17
195,24.440000534057617
391,35.61000061035156
587,36.939998626708984
783,43.72999954223633
979,54.529998779296875
1175,56.83000183105469
1371,63.0
1567,70.2300033569336
1763,71.9800033569336
1959,77.3499984741211
2155,77.05999755859375
2351,79.41000366210938
2547,80.80999755859375
2743,81.43000030517578
2939,82.79000091552734
3135,82.45999908447266
3331,82.63999938964844
3527,84.7699966430664
3723,83.63999938964844
3919,84.22000122070312
4115,84.70999908447266
4311,84.95999908447266
4507,85.69000244140625
4703,85.94000244140625
4899,84.73999786376953
5095,86.5199966430664
5291,84.91999816894531
5487,86.29000091552734
5683,87.2300033569336
5879,86.25
6075,86.88999938964844
6271,86.73999786376953
6467,87.43000030517578
6663,86.63999938964844
6859,88.29000091552734
7055,88.06999969482422
7251,85.1500015258789
7447,86.38999938964844
7643,87.58999633789062
7839,87.33999633789062
8035,88.16000366210938
8231,88.06999969482422
8427,87.75
8623,85.9000015258789
8819,87.70999908447266
9015,88.12999725341797
9211,87.37999725341797
9407,88.52999877929688
9603,87.91000366210938
9799,87.5999984741211
9995,92.94000244140625
10191,93.30000305175781
10387,93.43000030517578
10583,93.69999694824219
10779,93.80000305175781
10975,93.66999816894531
11171,93.91000366210938
11367,93.80000305175781
11563,93.70999908447266
11759,93.86000061035156
11955,94.06999969482422
12151,93.93000030517578
12347,93.94999694824219
12543,93.79000091552734
12739,94.16000366210938
12935,93.88999938964844
13131,93.83000183105469
13327,93.87000274658203
13523,93.58999633789062
13719,94.0
13915,94.3499984741211
14111,94.30999755859375
14307,94.4000015258789
14503,94.1500015258789
14699,94.20999908447266
14895,94.36000061035156
15091,94.25
15287,94.29000091552734
15483,94.0199966430664
15679,94.37999725341797
15875,94.22000122070312
16071,94.33999633789062
16267,94.12999725341797
16463,94.06999969482422
16659,93.95999908447266
16855,94.3499984741211
17051,94.0199966430664
17247,94.11000061035156
17443,94.13999938964844
17639,94.2699966430664
17835,94.23999786376953
18031,94.2300033569336
18227,94.02999877929688
18423,93.93000030517578
18619,94.02999877929688
18815,94.33000183105469
19011,94.25
19207,93.9000015258789
19403,94.11000061035156
19599,94.25
19795,94.0999984741211
19991,93.97000122070312
20187,94.12000274658203
20383,94.0
20579,93.91999816894531
20775,93.91999816894531
20971,93.76000213623047
21167,94.12000274658203
21363,94.23999786376953
21559,94.19000244140625
21755,94.08999633789062
21951,94.01000213623047
22147,93.87999725341797
22343,94.11000061035156
