,events.out.tfevents.1556850304.gpu17,events.out.tfevents.1556849173.gpu5.cse.cuhk.edu.hk
195,9.920000076293945,10.619999885559082
391,17.780000686645508,18.34000015258789
587,24.889999389648438,22.139999389648438
783,32.310001373291016,28.850000381469727
979,39.709999084472656,38.22999954223633
1175,42.060001373291016,41.41999816894531
1371,46.88999938964844,45.400001525878906
1567,49.75,49.119998931884766
1763,51.900001525878906,49.77000045776367
1959,53.709999084472656,52.47999954223633
2155,56.02000045776367,55.0099983215332
2351,54.7400016784668,55.790000915527344
2547,56.869998931884766,57.060001373291016
2743,58.06999969482422,57.4900016784668
2939,57.599998474121094,58.029998779296875
3135,59.099998474121094,59.369998931884766
3331,58.869998931884766,59.75
3527,59.77000045776367,59.06999969482422
3723,59.68000030517578,59.70000076293945
3919,59.939998626708984,59.849998474121094
4115,61.25,60.2400016784668
4311,62.29999923706055,61.0099983215332
4507,60.650001525878906,60.38999938964844
4703,61.31999969482422,60.25
4899,61.25,60.439998626708984
5095,62.04999923706055,60.959999084472656
5291,60.95000076293945,61.54999923706055
5487,62.22999954223633,62.779998779296875
5683,62.880001068115234,62.9900016784668
5879,61.31999969482422,62.58000183105469
6075,60.939998626708984,62.04999923706055
6271,60.54999923706055,61.119998931884766
6467,61.95000076293945,62.93000030517578
6663,64.41000366210938,63.060001373291016
6859,62.83000183105469,63.5099983215332
7055,63.369998931884766,63.560001373291016
7251,62.33000183105469,63.45000076293945
7447,62.95000076293945,62.45000076293945
7643,64.94000244140625,62.400001525878906
7839,63.77000045776367,61.970001220703125
8035,62.959999084472656,64.4000015258789
8231,64.43000030517578,63.310001373291016
8427,64.23999786376953,63.47999954223633
8623,62.45000076293945,62.97999954223633
8819,63.2400016784668,63.22999954223633
9015,64.30000305175781,64.6500015258789
9211,64.2699966430664,64.61000061035156
9407,64.37000274658203,64.4000015258789
9603,63.56999969482422,64.5199966430664
9799,63.369998931884766,63.349998474121094
9995,74.0199966430664,74.2699966430664
10191,74.19000244140625,74.43000030517578
10387,74.69999694824219,75.45999908447266
10583,74.87999725341797,75.2699966430664
10779,74.88999938964844,75.5
10975,75.52999877929688,75.79000091552734
11171,75.70999908447266,75.55999755859375
11367,75.38999938964844,76.06999969482422
11563,75.02999877929688,75.47000122070312
11759,75.4800033569336,75.72000122070312
11955,75.22000122070312,75.5199966430664
12151,75.5999984741211,75.4800033569336
12347,75.45999908447266,75.31999969482422
12543,75.61000061035156,75.73999786376953
12739,75.73999786376953,75.3499984741211
12935,75.02999877929688,74.94000244140625
13131,75.2300033569336,74.94000244140625
13327,75.69000244140625,75.47000122070312
13523,75.45999908447266,75.25
13719,75.3499984741211,75.8499984741211
13915,76.0,75.91000366210938
14111,75.97000122070312,75.80000305175781
14307,76.13999938964844,76.11000061035156
14503,76.4000015258789,76.04000091552734
14699,75.91999816894531,75.55999755859375
14895,75.62000274658203,75.98999786376953
15091,76.23999786376953,76.20999908447266
15287,76.37000274658203,75.94999694824219
15483,75.66000366210938,75.77999877929688
15679,75.97000122070312,75.93000030517578
15875,76.16999816894531,76.05000305175781
16071,75.79000091552734,76.02999877929688
16267,76.30000305175781,76.05999755859375
16463,76.06999969482422,76.23999786376953
16659,76.22000122070312,75.75
16855,75.94999694824219,75.69000244140625
17051,76.44999694824219,75.7300033569336
17247,76.54000091552734,75.73999786376953
17443,76.41000366210938,76.05000305175781
17639,76.11000061035156,75.47000122070312
17835,76.29000091552734,75.88999938964844
18031,75.75,75.52999877929688
18227,75.83999633789062,76.05999755859375
18423,75.9000015258789,76.01000213623047
18619,76.0199966430664,75.91999816894531
18815,75.94000244140625,75.63999938964844
19011,76.0999984741211,76.06999969482422
19207,76.02999877929688,75.91000366210938
19403,76.2699966430664,76.05999755859375
19599,76.02999877929688,75.76000213623047
19795,76.11000061035156,75.80000305175781
19991,76.04000091552734,75.75
20187,75.56999969482422,75.80000305175781
20383,76.26000213623047,76.08999633789062
20579,76.33000183105469,76.43000030517578
20775,76.58000183105469,75.91999816894531
20971,76.0999984741211,75.7699966430664
21167,75.91999816894531,75.81999969482422
21363,75.93000030517578,75.9800033569336
21559,76.1500015258789,75.9000015258789
21755,75.80999755859375,76.0199966430664
21951,76.06999969482422,75.83999633789062
22147,75.94999694824219,75.97000122070312
22343,76.18000030517578,75.62000274658203
22539,76.20999908447266,76.2300033569336
22735,76.18000030517578,75.73999786376953
22931,75.72000122070312,75.7699966430664
23127,76.25,75.95999908447266
23323,75.8499984741211,75.93000030517578
23519,75.83999633789062,75.7300033569336
23715,76.33000183105469,75.6500015258789
