,events.out.tfevents.1552046124.gpu18
0,10.0
10,20.06999969482422
20,30.75
30,31.43000030517578
40,37.41999816894531
50,37.09000015258789
60,41.2599983215332
70,43.59000015258789
80,47.22999954223633
90,48.72999954223633
98,43.880001068115234
108,48.540000915527344
118,52.04999923706055
128,51.880001068115234
138,50.95000076293945
148,53.470001220703125
158,54.15999984741211
168,51.650001525878906
178,59.22999954223633
188,60.27000045776367
196,59.380001068115234
206,59.63999938964844
216,63.70000076293945
226,64.55999755859375
236,64.62000274658203
246,61.45000076293945
256,65.58000183105469
266,66.5199966430664
276,64.01000213623047
286,65.52999877929688
294,68.4000015258789
304,67.02999877929688
314,70.37999725341797
324,71.48999786376953
334,71.0
344,69.98999786376953
354,69.87999725341797
364,73.11000061035156
374,72.3499984741211
384,74.93000030517578
392,73.38999938964844
402,74.26000213623047
412,73.26000213623047
422,75.01000213623047
432,75.1500015258789
442,75.69999694824219
452,75.37000274658203
462,73.55000305175781
472,75.58999633789062
482,75.8499984741211
490,76.73999786376953
500,77.87000274658203
510,77.3499984741211
520,76.38999938964844
530,76.88999938964844
540,77.66000366210938
550,76.63999938964844
560,79.5199966430664
570,80.33999633789062
580,80.73999786376953
588,80.4000015258789
598,80.44000244140625
608,80.08000183105469
618,80.54000091552734
628,81.97000122070312
638,81.37000274658203
648,80.01000213623047
658,80.97000122070312
668,81.75
678,80.94000244140625
686,80.87999725341797
696,82.5
706,82.51000213623047
716,80.76000213623047
726,82.62999725341797
736,81.1500015258789
746,82.66999816894531
756,81.61000061035156
766,81.94000244140625
776,83.62000274658203
784,82.44999694824219
794,82.41999816894531
804,83.16000366210938
814,83.33000183105469
824,81.63999938964844
834,83.44000244140625
844,82.7699966430664
854,83.19000244140625
864,82.94999694824219
874,83.58000183105469
882,84.19999694824219
892,83.75
902,85.30000305175781
912,84.20999908447266
922,84.44000244140625
932,84.37000274658203
942,83.75
952,84.0
962,84.48999786376953
972,83.80999755859375
980,84.54000091552734
990,85.33000183105469
1000,85.41999816894531
1010,84.81999969482422
1020,85.51000213623047
1030,84.80000305175781
1040,83.98999786376953
1050,84.5199966430664
1060,85.91999816894531
1070,85.08000183105469
1078,85.0999984741211
1088,85.73999786376953
1098,85.20999908447266
1108,85.3499984741211
1118,84.55999755859375
1128,85.8499984741211
1138,85.86000061035156
1148,83.86000061035156
1158,85.51000213623047
1168,85.37999725341797
1176,84.83999633789062
1186,85.16000366210938
1196,84.80000305175781
1206,85.61000061035156
1216,85.97000122070312
1226,86.08999633789062
1236,86.83999633789062
1246,85.87000274658203
1256,85.16999816894531
1266,86.22000122070312
1274,85.94000244140625
1284,86.55999755859375
1294,87.02999877929688
1304,86.70999908447266
1314,86.33000183105469
1324,85.97000122070312
1334,85.87999725341797
1344,87.37000274658203
1354,86.4800033569336
1364,86.80000305175781
1372,86.25
1382,87.41000366210938
1392,86.68000030517578
1402,87.2300033569336
1412,86.6500015258789
1422,87.16000366210938
1432,86.25
1442,86.93000030517578
1452,87.47000122070312
1462,87.58999633789062
1470,87.76000213623047
1480,87.45999908447266
1490,88.12000274658203
1500,87.70999908447266
1510,87.33000183105469
1520,87.19000244140625
1530,86.58000183105469
1540,86.5999984741211
1550,86.80000305175781
1560,87.4800033569336
1568,87.22000122070312
1578,87.4800033569336
1588,87.5
1598,87.11000061035156
1608,87.81999969482422
1618,87.54000091552734
1628,87.41999816894531
1638,87.19999694824219
1648,88.0999984741211
1658,88.12999725341797
1666,86.55000305175781
1676,86.62000274658203
1686,88.66999816894531
1696,88.11000061035156
1706,88.45999908447266
1716,88.3499984741211
1726,87.75
1736,87.04000091552734
1746,87.45999908447266
1756,88.5
1764,87.33999633789062
1774,88.37000274658203
1784,86.63999938964844
1794,87.0999984741211
1804,88.94999694824219
1814,88.58000183105469
1824,88.73999786376953
1834,88.7699966430664
1844,88.75
1854,88.0999984741211
1862,87.55000305175781
1872,88.63999938964844
1882,88.73999786376953
1892,87.77999877929688
1902,88.0999984741211
1912,86.72000122070312
1922,88.37000274658203
1932,87.87999725341797
1942,88.31999969482422
1952,87.66999816894531
1960,87.91999816894531
1970,87.7699966430664
1980,88.69000244140625
1990,87.87000274658203
2000,88.86000061035156
2010,88.97000122070312
2020,88.58999633789062
2030,87.16999816894531
2040,88.5
2050,89.0
2058,88.94000244140625
2068,88.5
2078,87.79000091552734
2088,88.55000305175781
2098,89.08000183105469
2108,88.55000305175781
2118,88.58000183105469
2128,88.83000183105469
2138,87.83000183105469
2148,89.3499984741211
2156,88.7300033569336
2166,88.8499984741211
2176,89.31999969482422
2186,89.06999969482422
2196,88.1500015258789
2206,88.87999725341797
2216,88.13999938964844
2226,89.19999694824219
2236,88.51000213623047
2246,87.76000213623047
2254,88.27999877929688
2264,87.81999969482422
2274,89.83999633789062
2284,89.11000061035156
2294,88.86000061035156
2304,89.08000183105469
2314,89.12999725341797
2324,88.86000061035156
2334,88.55000305175781
2344,87.63999938964844
2352,89.05000305175781
2362,89.56999969482422
2372,89.0199966430664
2382,88.33999633789062
2392,88.94000244140625
2402,88.52999877929688
2412,88.55999755859375
2422,89.81999969482422
2432,88.83000183105469
2442,89.08999633789062
2450,88.86000061035156
2460,89.31999969482422
2470,89.1500015258789
2480,88.73999786376953
2490,88.48999786376953
2500,89.06999969482422
2510,88.55999755859375
2520,89.06999969482422
2530,89.5199966430664
2540,89.30999755859375
2548,88.91000366210938
2558,89.87000274658203
2568,89.37999725341797
2578,88.87999725341797
2588,88.87999725341797
2598,89.33000183105469
2608,89.56999969482422
2618,89.91000366210938
2628,89.56999969482422
2638,89.91000366210938
2646,88.37000274658203
2656,89.3499984741211
2666,90.01000213623047
2676,89.23999786376953
