,events.out.tfevents.1556502631.gpu1.cse.cuhk.edu.hk,events.out.tfevents.1556506634.gpu1.cse.cuhk.edu.hk
195,53.5,56.11000061035156
391,67.18000030517578,66.69000244140625
587,72.8499984741211,71.7300033569336
783,78.12000274658203,77.94999694824219
979,81.12000274658203,81.05000305175781
1175,80.38999938964844,81.69999694824219
1371,83.7699966430664,83.06999969482422
1567,82.19000244140625,83.08000183105469
1763,84.2699966430664,84.76000213623047
1959,83.9800033569336,83.62000274658203
2155,85.4800033569336,85.38999938964844
2351,84.12999725341797,84.01000213623047
2547,86.41999816894531,86.26000213623047
2743,84.4800033569336,84.31999969482422
2939,85.79000091552734,85.75
3135,87.2300033569336,86.25
3331,86.75,85.83000183105469
3527,86.26000213623047,87.26000213623047
3723,86.51000213623047,82.33999633789062
3919,86.01000213623047,87.37999725341797
4115,87.80999755859375,86.94999694824219
4311,87.2699966430664,86.98999786376953
4507,88.06999969482422,87.94999694824219
4703,85.69999694824219,87.93000030517578
4899,88.12999725341797,88.43000030517578
5095,86.66999816894531,87.77999877929688
