,events.out.tfevents.1556502631.gpu1.cse.cuhk.edu.hk,events.out.tfevents.1556506634.gpu1.cse.cuhk.edu.hk
195,1.3563895225524902,1.3701379299163818
391,0.8318303227424622,0.8651382327079773
587,0.8370304703712463,0.8074020743370056
783,0.6537951231002808,0.682034969329834
979,0.6187446117401123,0.5433592796325684
1175,0.6695071458816528,0.5096540451049805
1371,0.5371954441070557,0.5234701633453369
1567,0.5071675181388855,0.5305919051170349
1763,0.5990402698516846,0.6372863054275513
1959,0.4842767119407654,0.5528250336647034
2155,0.6271061301231384,0.5717087984085083
2351,0.5434616804122925,0.5603403449058533
2547,0.4750320613384247,0.5014763474464417
2743,0.6691482067108154,0.5523232817649841
2939,0.41388463973999023,0.4868916869163513
3135,0.4787236452102661,0.5060253739356995
3331,0.3719851076602936,0.3539431691169739
3527,0.30062317848205566,0.3914775550365448
3723,0.25606048107147217,0.21097731590270996
3919,0.3178350329399109,0.31885576248168945
4115,0.5775975584983826,0.5134868621826172
4311,0.41945549845695496,0.508148193359375
4507,0.5760535001754761,0.5636038780212402
4703,0.5218638181686401,0.44200319051742554
4899,0.25896185636520386,0.27520254254341125
5095,0.5786234140396118,0.4908999800682068
