,events.out.tfevents.1556798097.gpu1.cse.cuhk.edu.hk
195,1.448792576789856
391,1.334059476852417
587,0.9843451976776123
783,0.7986781597137451
979,0.8860315084457397
1175,0.7174017429351807
1371,0.6647417545318604
1567,0.5974043607711792
1763,0.5427005290985107
1959,0.5056682229042053
2155,0.6135010719299316
2351,0.5879587531089783
2547,0.5853075385093689
2743,0.7925361394882202
2939,0.6190642714500427
3135,0.5555569529533386
3331,0.6210490465164185
3527,0.7249730229377747
3723,0.5833415389060974
3919,0.2776806950569153
4115,0.5841493606567383
4311,0.6292271614074707
4507,0.5772813558578491
4703,0.5452436804771423
4899,0.3174014687538147
5095,0.40850386023521423
5291,0.46573901176452637
5487,0.45132455229759216
5683,0.8288360834121704
5879,0.3209839463233948
6075,0.3098990321159363
6271,0.27127280831336975
6467,0.35386908054351807
6663,0.8116474747657776
6859,0.557528018951416
7055,0.40668851137161255
7251,0.7716332674026489
7447,0.26922231912612915
7643,0.36997920274734497
7839,0.3539266586303711
8035,0.5991384387016296
8231,0.24647068977355957
8427,0.6584014892578125
8623,0.48524022102355957
8819,0.49538034200668335
9015,0.5452913045883179
9211,0.7024645209312439
9407,0.4427903890609741
9603,0.39956265687942505
9799,0.3634323477745056
9995,0.4461672306060791
10191,0.5140948295593262
10387,0.17759022116661072
10583,0.5569185018539429
10779,0.29792648553848267
10975,0.36394912004470825
11171,0.3847891390323639
11367,0.4201467037200928
11563,0.43332234025001526
11759,0.5641375780105591
11955,0.3396815061569214
12151,0.24474257230758667
12347,0.3235645294189453
12543,0.11190204322338104
12739,0.48745131492614746
12935,0.6764956116676331
13131,0.34163570404052734
13327,0.39761799573898315
13523,0.7117255926132202
13719,0.14386363327503204
13915,0.3337719738483429
14111,0.4975173771381378
14307,0.5587137937545776
14503,0.2845587134361267
14699,0.2439284324645996
14895,0.15928463637828827
15091,0.36077332496643066
15287,0.14986172318458557
15483,0.3132372498512268
15679,0.49443525075912476
15875,0.5551323294639587
16071,0.38720473647117615
16267,0.3005369305610657
16463,0.2599698007106781
16659,0.3129044473171234
16855,0.32779473066329956
17051,0.42578521370887756
17247,0.469539076089859
17443,0.270230233669281
17639,0.40084487199783325
17835,0.2810802459716797
18031,0.4720674753189087
18227,0.20776191353797913
18423,0.11743339896202087
18619,0.13793645799160004
18815,0.2601609230041504
19011,0.4346297085285187
19207,0.15785399079322815
19403,0.26921725273132324
19599,0.1809585988521576
19795,0.40516993403434753
19991,0.3798711895942688
20187,0.38686466217041016
20383,0.11124134808778763
20579,0.4560812711715698
20775,0.3255196213722229
20971,0.4646106958389282
21167,0.337664932012558
21363,0.4070141911506653
21559,0.18737190961837769
21755,0.11099958419799805
21951,0.2320726066827774
22147,0.44086530804634094
22343,0.2584379017353058
22539,0.24297261238098145
22735,0.19940833747386932
22931,0.23489443957805634
23127,0.28357037901878357
23323,0.28921663761138916
23519,0.22025032341480255
23715,0.36141008138656616
23911,0.33978474140167236
24107,0.21560677886009216
24303,0.23568353056907654
24499,0.042300816625356674
24695,0.17999155819416046
24891,0.017142033204436302
25087,0.25991201400756836
25283,0.14845243096351624
25479,0.19650110602378845
25675,0.17453761398792267
25871,0.20892637968063354
26067,0.23323722183704376
26263,0.27042528986930847
26459,0.36344197392463684
26655,0.5139521360397339
26851,0.13011348247528076
27047,0.41709640622138977
27243,0.32350844144821167
27439,0.31873953342437744
27635,0.24279558658599854
27831,0.21324175596237183
28027,0.38175085186958313
28223,0.30331817269325256
28419,0.3924122750759125
28615,0.30742448568344116
28811,0.1757998764514923
29007,0.22971594333648682
29203,0.22548329830169678
29399,0.1311880648136139
29595,0.18897086381912231
