,events.out.tfevents.1556605048.gpu1.cse.cuhk.edu.hk
195,16.290000915527344
391,26.399999618530273
587,32.0
783,39.63999938964844
979,45.52000045776367
1175,47.310001373291016
1371,50.689998626708984
1567,53.2400016784668
1763,54.310001373291016
1959,55.0099983215332
2155,56.7599983215332
2351,55.790000915527344
2547,57.540000915527344
2743,57.72999954223633
2939,59.0
3135,58.5
3331,59.709999084472656
3527,59.68000030517578
3723,59.31999969482422
3919,60.400001525878906
4115,60.970001220703125
4311,62.90999984741211
4507,62.2400016784668
4703,63.02000045776367
4899,61.290000915527344
5095,63.720001220703125
5291,62.29999923706055
5487,62.560001373291016
5683,63.38999938964844
5879,63.7599983215332
6075,64.55999755859375
6271,62.79999923706055
6467,62.77000045776367
6663,63.95000076293945
6859,63.2400016784668
7055,64.30999755859375
7251,65.3499984741211
7447,64.01000213623047
7643,63.68000030517578
7839,64.56999969482422
8035,64.12999725341797
8231,64.91000366210938
8427,63.380001068115234
8623,64.88999938964844
8819,64.4800033569336
9015,64.55000305175781
9211,65.58999633789062
9407,64.51000213623047
9603,64.19000244140625
9799,64.55000305175781
9995,72.94999694824219
10191,73.45999908447266
10387,73.93000030517578
10583,74.36000061035156
10779,74.45999908447266
10975,74.25
11171,74.13999938964844
11367,74.33000183105469
11563,74.69000244140625
11759,74.31999969482422
11955,74.13999938964844
12151,74.16999816894531
12347,73.38999938964844
12543,74.0
12739,73.9800033569336
12935,74.41999816894531
13131,74.05000305175781
13327,74.12000274658203
13523,74.05000305175781
13719,74.45999908447266
13915,74.4000015258789
14111,74.54000091552734
14307,74.75
14503,74.55000305175781
14699,74.33999633789062
14895,74.58000183105469
15091,74.45999908447266
15287,74.45999908447266
15483,74.80999755859375
15679,74.62000274658203
15875,74.63999938964844
16071,74.73999786376953
16267,74.83000183105469
16463,74.44000244140625
16659,74.62000274658203
16855,74.94999694824219
17051,74.48999786376953
17247,74.56999969482422
17443,74.6500015258789
17639,74.7300033569336
17835,74.5
18031,74.69999694824219
18227,74.62000274658203
18423,74.76000213623047
18619,74.72000122070312
18815,74.79000091552734
19011,74.88999938964844
19207,74.58999633789062
19403,74.41000366210938
19599,74.54000091552734
19795,74.11000061035156
19991,74.5199966430664
20187,74.8499984741211
20383,74.30999755859375
20579,74.68000030517578
20775,74.44999694824219
20971,74.54000091552734
21167,74.61000061035156
21363,74.56999969482422
21559,74.79000091552734
21755,74.61000061035156
21951,74.70999908447266
22147,74.5999984741211
22343,74.63999938964844
22539,74.54000091552734
22735,74.52999877929688
22931,74.45999908447266
23127,74.58000183105469
23323,74.62999725341797
23519,74.36000061035156
23715,74.44999694824219
23911,74.69000244140625
24107,74.54000091552734
24303,74.41999816894531
24499,74.41999816894531
24695,74.7300033569336
24891,74.31999969482422
25087,74.63999938964844
25283,74.9000015258789
25479,74.75
25675,74.7300033569336
25871,74.43000030517578
26067,74.72000122070312
26263,74.33999633789062
26459,74.91000366210938
26655,74.47000122070312
26851,74.73999786376953
27047,74.63999938964844
27243,74.58999633789062
27439,74.4800033569336
27635,74.91000366210938
27831,74.41000366210938
28027,74.91000366210938
28223,74.16000366210938
28419,74.62000274658203
28615,73.91000366210938
28811,74.31999969482422
29007,74.4000015258789
29203,74.58999633789062
29399,74.36000061035156
29595,74.30999755859375
