,events.out.tfevents.1556888264.gpu17
195,45.7400016784668
391,63.040000915527344
587,66.8499984741211
783,76.54000091552734
979,77.43000030517578
1175,78.88999938964844
1371,79.88999938964844
1567,80.29000091552734
1763,80.29000091552734
1959,82.2300033569336
2155,81.58999633789062
2351,83.91999816894531
2547,83.48999786376953
2743,82.13999938964844
2939,81.93000030517578
3135,84.91999816894531
3331,85.29000091552734
3527,85.16000366210938
3723,83.66000366210938
3919,83.36000061035156
4115,84.62000274658203
4311,84.87999725341797
4507,84.72000122070312
4703,84.86000061035156
4899,85.9800033569336
5095,82.18000030517578
5291,86.0999984741211
5487,85.33999633789062
5683,84.69999694824219
5879,85.5999984741211
6075,84.70999908447266
6271,84.22000122070312
6467,87.1500015258789
6663,86.94000244140625
6859,86.4000015258789
7055,83.58999633789062
7251,85.1500015258789
7447,86.19000244140625
7643,87.0199966430664
7839,85.31999969482422
8035,86.4000015258789
8231,86.54000091552734
8427,86.13999938964844
8623,87.05999755859375
8819,86.12999725341797
9015,86.72000122070312
9211,87.4800033569336
9407,87.22000122070312
9603,87.33999633789062
9799,87.36000061035156
9995,91.95999908447266
10191,92.33000183105469
10387,92.37999725341797
10583,92.61000061035156
10779,92.62000274658203
10975,92.86000061035156
11171,92.75
11367,92.87000274658203
11563,92.95999908447266
11759,93.06999969482422
11955,92.94000244140625
12151,92.97000122070312
12347,92.97000122070312
12543,92.9000015258789
12739,93.19999694824219
12935,92.95999908447266
13131,93.06999969482422
13327,93.41000366210938
13523,92.9800033569336
13719,92.79000091552734
13915,93.20999908447266
14111,93.31999969482422
14307,93.44000244140625
14503,93.22000122070312
14699,93.33000183105469
14895,93.5
15091,93.58999633789062
15287,93.36000061035156
15483,93.51000213623047
15679,93.44000244140625
15875,93.52999877929688
16071,93.61000061035156
16267,93.55000305175781
16463,93.38999938964844
16659,93.37999725341797
16855,93.33999633789062
17051,93.30999755859375
17247,93.5
17443,93.33999633789062
17639,93.56999969482422
17835,93.47000122070312
18031,93.11000061035156
18227,93.51000213623047
18423,93.62999725341797
18619,93.6500015258789
18815,93.66000366210938
19011,93.33000183105469
19207,93.5999984741211
19403,93.56999969482422
19599,93.62999725341797
19795,93.44999694824219
19991,93.55000305175781
20187,93.5999984741211
20383,93.5
20579,93.5199966430664
20775,93.44000244140625
20971,93.16999816894531
21167,93.23999786376953
21363,93.79000091552734
21559,93.29000091552734
21755,93.47000122070312
21951,93.08000183105469
22147,93.37000274658203
22343,93.54000091552734
22539,93.2300033569336
22735,93.05999755859375
22931,93.0999984741211
23127,93.19000244140625
23323,93.25
23519,93.36000061035156
23715,93.41999816894531
23911,93.16999816894531
24107,93.48999786376953
24303,93.19999694824219
24499,93.48999786376953
24695,93.44999694824219
24891,93.30000305175781
25087,93.5199966430664
25283,93.44999694824219
25479,93.41000366210938
25675,93.22000122070312
25871,93.18000030517578
26067,93.43000030517578
26263,93.48999786376953
26459,93.06999969482422
26655,93.41000366210938
26851,93.2699966430664
27047,93.27999877929688
27243,93.48999786376953
27439,93.2300033569336
27635,93.37999725341797
27831,93.58000183105469
28027,93.48999786376953
28223,93.38999938964844
28419,93.05000305175781
28615,93.33000183105469
28811,93.19000244140625
29007,93.01000213623047
29203,93.26000213623047
29399,93.2699966430664
29595,93.08000183105469
