,events.out.tfevents.1556888264.gpu17
195,1.504351258277893
391,1.2882132530212402
587,0.966657817363739
783,0.6677605509757996
979,0.9524222612380981
1175,0.6957555413246155
1371,0.6802777647972107
1567,1.0179108381271362
1763,0.5682371854782104
1959,0.5549792051315308
2155,0.5369950532913208
2351,0.6073309183120728
2547,0.5972864627838135
2743,0.774189829826355
2939,0.8945935964584351
3135,0.6772557497024536
3331,0.6099798083305359
3527,0.5398677587509155
3723,0.4449005722999573
3919,0.4258921146392822
4115,0.43247365951538086
4311,0.7591565251350403
4507,0.6005898714065552
4703,0.6859087347984314
4899,0.6886448860168457
5095,0.6759044528007507
5291,0.5216186046600342
5487,0.4298239052295685
5683,0.48248380422592163
5879,0.5908657908439636
6075,0.4828089773654938
6271,0.43965333700180054
6467,0.4757293164730072
6663,0.3481886684894562
6859,0.28003835678100586
7055,0.25443708896636963
7251,0.3019121289253235
7447,0.6286153793334961
7643,0.5667253732681274
7839,0.5911896228790283
8035,0.4483293890953064
8231,0.5431035757064819
8427,0.73764967918396
8623,0.5460295677185059
8819,0.36991146206855774
9015,0.4274812638759613
9211,0.5407277345657349
9407,0.26621055603027344
9603,0.30260536074638367
9799,0.50802081823349
9995,0.2645988464355469
10191,0.24558418989181519
10387,0.328225314617157
10583,0.23630201816558838
10779,0.16872072219848633
10975,0.2684677243232727
11171,0.3052557110786438
11367,0.27846401929855347
11563,0.28973913192749023
11759,0.1392195224761963
11955,0.24104921519756317
12151,0.1563664674758911
12347,0.1241416484117508
12543,0.09140391647815704
12739,0.15581175684928894
12935,0.1763252317905426
13131,0.07671225070953369
13327,0.11290773749351501
13523,0.1996699869632721
13719,0.27208542823791504
13915,0.1746165156364441
14111,0.1235177218914032
14307,0.12437692284584045
14503,0.03304841369390488
14699,0.04519323632121086
14895,0.18358857929706573
15091,0.07609851658344269
15287,0.1532881259918213
15483,0.05741051584482193
15679,0.055168088525533676
15875,0.10449215024709702
16071,0.06842315942049026
16267,0.0942804217338562
16463,0.08964484930038452
16659,0.06679059565067291
16855,0.11747655272483826
17051,0.048093050718307495
17247,0.16243106126785278
17443,0.12888473272323608
17639,0.09655318409204483
17835,0.061230793595314026
18031,0.08046092092990875
18227,0.04981585592031479
18423,0.09508606046438217
18619,0.017736895009875298
18815,0.047107864171266556
19011,0.009520933963358402
19207,0.08257286250591278
19403,0.0108106080442667
19599,0.01832687109708786
19795,0.28368550539016724
19991,0.18189600110054016
20187,0.06901203095912933
20383,0.03749098628759384
20579,0.11543504893779755
20775,0.08155211806297302
20971,0.06677625328302383
21167,0.14636802673339844
21363,0.008097369223833084
21559,0.058589205145835876
21755,0.0639088898897171
21951,0.11732757836580276
22147,0.02209276147186756
22343,0.07652449607849121
22539,0.03785104304552078
22735,0.06048157811164856
22931,0.06958438456058502
23127,0.1738271713256836
23323,0.029610823839902878
23519,0.04796849563717842
23715,0.023561643436551094
23911,0.15051087737083435
24107,0.13482524454593658
24303,0.11322289705276489
24499,0.09300096333026886
24695,0.05715411901473999
24891,0.12180088460445404
25087,0.02973877638578415
25283,0.22607611119747162
25479,0.07415761053562164
25675,0.028308041393756866
25871,0.008407089859247208
26067,0.09417569637298584
26263,0.19338685274124146
26459,0.11696495115756989
26655,0.10320565104484558
26851,0.030749522149562836
27047,0.03725802153348923
27243,0.17035238444805145
27439,0.07068317383527756
27635,0.11575198918581009
27831,0.030435385182499886
28027,0.04010700434446335
28223,0.14434441924095154
28419,0.03530977666378021
28615,0.0476006455719471
28811,0.1305585503578186
29007,0.055862586945295334
29203,0.06224099546670914
29399,0.04403470456600189
29595,0.030303893610835075
