,events.out.tfevents.1557053764.gpu17,events.out.tfevents.1557061677.gpu17
195,42.65999984741211,48.04999923706055
391,62.91999816894531,62.599998474121094
587,67.95999908447266,68.58999633789062
783,74.23999786376953,76.62999725341797
979,77.4000015258789,76.62999725341797
1175,79.37000274658203,79.94000244140625
1371,80.0999984741211,82.62999725341797
1567,81.7699966430664,82.72000122070312
1763,82.16000366210938,81.47000122070312
1959,82.33999633789062,81.97000122070312
2155,83.47000122070312,83.5199966430664
2351,83.11000061035156,83.91999816894531
2547,83.91999816894531,84.62000274658203
2743,80.93000030517578,84.73999786376953
2939,85.12999725341797,86.0
3135,84.87000274658203,84.12999725341797
3331,84.91999816894531,85.7300033569336
3527,85.33000183105469,84.80000305175781
3723,83.31999969482422,85.98999786376953
3919,83.80000305175781,83.97000122070312
4115,86.62999725341797,85.51000213623047
4311,85.9000015258789,85.8499984741211
4507,84.37999725341797,86.1500015258789
4703,84.12000274658203,83.5199966430664
4899,84.94999694824219,86.33000183105469
5095,85.05000305175781,84.37000274658203
5291,85.0,86.30999755859375
5487,85.26000213623047,85.79000091552734
5683,87.25,86.47000122070312
5879,86.30999755859375,86.16999816894531
6075,86.26000213623047,87.08999633789062
6271,85.77999877929688,86.1500015258789
6467,88.18000030517578,87.44999694824219
6663,87.01000213623047,88.20999908447266
6859,87.37999725341797,86.9800033569336
7055,86.55999755859375,86.3499984741211
7251,85.81999969482422,86.56999969482422
7447,84.48999786376953,86.69000244140625
7643,87.13999938964844,87.91999816894531
7839,87.72000122070312,86.0999984741211
8035,84.9800033569336,86.3499984741211
8231,87.0199966430664,87.30000305175781
8427,86.69000244140625,87.13999938964844
8623,88.0199966430664,87.2699966430664
8819,86.7300033569336,86.56999969482422
9015,87.16999816894531,88.29000091552734
9211,86.73999786376953,88.30999755859375
9407,87.37000274658203,87.52999877929688
9603,86.58999633789062,87.70999908447266
9799,86.93000030517578,88.75
9995,92.69000244140625,92.62999725341797
10191,92.83000183105469,92.91999816894531
10387,92.88999938964844,92.7300033569336
10583,93.19000244140625,93.30999755859375
10779,93.12000274658203,93.4000015258789
10975,93.16999816894531,93.27999877929688
11171,93.26000213623047,93.37000274658203
11367,93.54000091552734,93.56999969482422
11563,93.66999816894531,93.31999969482422
11759,93.58000183105469,93.2699966430664
11955,93.41000366210938,93.56999969482422
12151,93.41000366210938,93.44000244140625
12347,93.5999984741211,93.29000091552734
12543,93.5199966430664,93.47000122070312
12739,93.58000183105469,93.58000183105469
12935,93.62000274658203,93.5199966430664
13131,93.47000122070312,93.1500015258789
13327,93.61000061035156,93.55000305175781
13523,93.54000091552734,93.52999877929688
13719,93.5199966430664,93.16999816894531
13915,94.06999969482422,93.76000213623047
14111,94.01000213623047,93.87999725341797
14307,94.08999633789062,93.93000030517578
14503,94.05000305175781,93.83000183105469
14699,93.97000122070312,93.94000244140625
14895,94.16999816894531,94.0
15091,93.81999969482422,93.91999816894531
15287,93.8499984741211,94.05999755859375
15483,93.80999755859375,94.01000213623047
15679,93.9000015258789,93.81999969482422
15875,93.98999786376953,93.93000030517578
16071,94.04000091552734,93.86000061035156
16267,94.1500015258789,94.0
16463,93.8499984741211,94.2699966430664
16659,93.87000274658203,94.05999755859375
16855,93.7699966430664,94.04000091552734
17051,93.94000244140625,94.02999877929688
17247,94.0199966430664,93.95999908447266
17443,93.87999725341797,94.12000274658203
17639,93.9000015258789,93.91999816894531
17835,94.16000366210938,93.93000030517578
18031,94.01000213623047,94.12000274658203
18227,94.08000183105469,94.05999755859375
18423,93.70999908447266,93.79000091552734
18619,93.83000183105469,93.76000213623047
18815,93.79000091552734,93.88999938964844
19011,93.98999786376953,93.72000122070312
19207,94.20999908447266,94.0199966430664
19403,93.86000061035156,93.80999755859375
19599,93.72000122070312,93.7300033569336
19795,93.9000015258789,93.95999908447266
19991,93.94999694824219,93.91999816894531
20187,94.05999755859375,93.87999725341797
20383,93.4000015258789,93.36000061035156
20579,93.61000061035156,93.7699966430664
20775,93.83000183105469,93.81999969482422
20971,93.87000274658203,93.7300033569336
21167,93.98999786376953,93.87999725341797
21363,93.79000091552734,93.9800033569336
21559,94.19000244140625,93.7300033569336
21755,93.56999969482422,93.54000091552734
21951,93.55000305175781,93.68000030517578
22147,93.44999694824219,93.81999969482422
22343,93.5999984741211,94.23999786376953
22539,93.86000061035156,93.63999938964844
22735,93.69000244140625,93.81999969482422
22931,93.93000030517578,93.6500015258789
23127,93.94999694824219,93.70999908447266
23323,93.87999725341797,94.1500015258789
23519,93.70999908447266,93.55999755859375
23715,93.6500015258789,93.83999633789062
23911,93.7699966430664,93.76000213623047
24107,93.5,93.6500015258789
24303,93.80000305175781,93.66999816894531
24499,93.86000061035156,93.66000366210938
24695,93.48999786376953,93.62999725341797
24891,93.6500015258789,93.51000213623047
25087,93.66999816894531,93.7699966430664
25283,93.30999755859375,93.41000366210938
25479,93.51000213623047,93.69999694824219
25675,93.73999786376953,93.93000030517578
25871,93.69000244140625,93.94999694824219
26067,93.58999633789062,93.94000244140625
26263,93.36000061035156,93.58999633789062
26459,93.66999816894531,93.80999755859375
26655,93.80000305175781,93.4800033569336
26851,93.4800033569336,93.68000030517578
27047,93.33000183105469,93.86000061035156
27243,93.41999816894531,93.91999816894531
27439,93.61000061035156,93.80000305175781
27635,93.58999633789062,93.66000366210938
27831,93.7300033569336,93.48999786376953
28027,93.86000061035156,93.77999877929688
28223,93.87000274658203,93.66000366210938
28419,93.26000213623047,93.4800033569336
28615,93.4000015258789,93.56999969482422
28811,93.48999786376953,93.55000305175781
29007,93.93000030517578,93.62000274658203
29203,93.12999725341797,93.63999938964844
29399,93.62000274658203,93.73999786376953
29595,93.61000061035156,93.76000213623047
