,events.out.tfevents.1557576963.gpu1.cse.cuhk.edu.hk
195,49.220001220703125
391,64.80000305175781
587,68.95999908447266
783,76.05999755859375
979,80.20999908447266
1175,79.7300033569336
1371,81.6500015258789
1567,83.47000122070312
1763,82.5
1959,82.80999755859375
2155,84.41999816894531
2351,84.5
2547,84.97000122070312
2743,83.62999725341797
2939,85.33000183105469
3135,84.7300033569336
3331,86.77999877929688
3527,86.2300033569336
3723,84.19999694824219
3919,83.33000183105469
4115,86.9000015258789
4311,85.98999786376953
4507,86.43000030517578
4703,85.97000122070312
4899,85.16000366210938
5095,86.43000030517578
5291,84.37000274658203
5487,86.01000213623047
5683,86.61000061035156
5879,85.19000244140625
6075,86.08999633789062
6271,86.61000061035156
6467,87.9000015258789
6663,86.5199966430664
6859,86.77999877929688
7055,86.41000366210938
7251,86.43000030517578
7447,86.93000030517578
7643,87.58000183105469
7839,87.76000213623047
8035,85.80000305175781
8231,87.7300033569336
8427,86.98999786376953
8623,86.30999755859375
8819,84.73999786376953
9015,87.26000213623047
9211,87.69000244140625
9407,87.58999633789062
9603,87.61000061035156
9799,88.52999877929688
9995,92.77999877929688
10191,93.0199966430664
10387,93.04000091552734
10583,92.98999786376953
10779,93.13999938964844
10975,93.26000213623047
11171,93.3499984741211
11367,93.25
11563,92.97000122070312
11759,93.4000015258789
11955,93.52999877929688
12151,93.51000213623047
12347,93.62000274658203
12543,93.47000122070312
12739,93.69999694824219
12935,93.4800033569336
13131,93.33999633789062
13327,93.45999908447266
13523,93.41999816894531
13719,93.12000274658203
13915,93.69999694824219
14111,93.77999877929688
14307,93.76000213623047
14503,93.91000366210938
14699,93.8499984741211
14895,93.76000213623047
15091,93.55999755859375
15287,93.75
15483,94.06999969482422
15679,93.68000030517578
15875,93.69000244140625
16071,93.91999816894531
16267,93.86000061035156
16463,93.91000366210938
16659,93.6500015258789
16855,93.62999725341797
17051,93.83000183105469
17247,93.70999908447266
17443,93.63999938964844
17639,93.97000122070312
17835,94.01000213623047
18031,93.72000122070312
18227,93.44999694824219
18423,93.86000061035156
18619,93.75
18815,93.51000213623047
19011,93.76000213623047
19207,93.86000061035156
19403,93.56999969482422
19599,93.72000122070312
19795,93.72000122070312
19991,93.93000030517578
20187,93.58999633789062
20383,93.44000244140625
20579,93.37000274658203
20775,93.66000366210938
20971,93.5
21167,93.86000061035156
21363,93.66000366210938
21559,93.72000122070312
21755,93.47000122070312
21951,93.5199966430664
22147,93.8499984741211
22343,93.63999938964844
22539,93.7300033569336
22735,93.27999877929688
22931,93.69999694824219
23127,93.87000274658203
23323,93.69000244140625
23519,93.70999908447266
23715,93.81999969482422
23911,93.94000244140625
24107,93.56999969482422
24303,93.61000061035156
24499,93.5199966430664
24695,93.66999816894531
24891,93.9000015258789
25087,93.8499984741211
25283,94.0999984741211
25479,93.94000244140625
25675,94.04000091552734
25871,93.52999877929688
26067,93.83999633789062
26263,93.80000305175781
26459,93.4000015258789
26655,93.73999786376953
26851,93.63999938964844
27047,93.77999877929688
27243,93.9000015258789
27439,93.8499984741211
27635,93.97000122070312
27831,94.16999816894531
28027,93.86000061035156
28223,93.83000183105469
28419,93.48999786376953
28615,93.91999816894531
28811,93.48999786376953
29007,93.44000244140625
29203,93.08999633789062
29399,93.37999725341797
29595,93.76000213623047
