,events.out.tfevents.1557576963.gpu1.cse.cuhk.edu.hk
195,1.3994197845458984
391,1.2995812892913818
587,1.0128439664840698
783,0.721932590007782
979,0.8709688186645508
1175,0.7572499513626099
1371,0.6842577457427979
1567,0.9047876596450806
1763,0.5963916778564453
1959,0.676240086555481
2155,0.4109462797641754
2351,0.5691723823547363
2547,0.5649612545967102
2743,0.7191401124000549
2939,0.6723533868789673
3135,0.715533971786499
3331,0.5130133628845215
3527,0.5580852627754211
3723,0.3929201066493988
3919,0.3142685294151306
4115,0.38944414258003235
4311,0.6943314671516418
4507,0.6510130763053894
4703,0.7757875919342041
4899,0.5361562967300415
5095,0.6175888776779175
5291,0.4398512840270996
5487,0.32839950919151306
5683,0.41094711422920227
5879,0.5988095998764038
6075,0.3758431375026703
6271,0.38983768224716187
6467,0.5110248327255249
6663,0.3255857229232788
6859,0.28489935398101807
7055,0.3589891791343689
7251,0.34197402000427246
7447,0.5026469230651855
7643,0.5724338293075562
7839,0.5321273803710938
8035,0.37537404894828796
8231,0.4089582562446594
8427,0.44477978348731995
8623,0.4619702696800232
8819,0.339794397354126
9015,0.3545840382575989
9211,0.4240519106388092
9407,0.34607040882110596
9603,0.31195569038391113
9799,0.40010493993759155
9995,0.3309459090232849
10191,0.3122505843639374
10387,0.3353497385978699
10583,0.21060742437839508
10779,0.18800804018974304
10975,0.22677859663963318
11171,0.20913569629192352
11367,0.291533887386322
11563,0.245313361287117
11759,0.0791516825556755
11955,0.22512227296829224
12151,0.07954558730125427
12347,0.13090969622135162
12543,0.06163838878273964
12739,0.16362115740776062
12935,0.1835639476776123
13131,0.11450758576393127
13327,0.1252330094575882
13523,0.17014116048812866
13719,0.1690308153629303
13915,0.15776607394218445
14111,0.1835976243019104
14307,0.12967872619628906
14503,0.034388624131679535
14699,0.040598541498184204
14895,0.11194385588169098
15091,0.04577472060918808
15287,0.15247903764247894
15483,0.05137379467487335
15679,0.025286328047513962
15875,0.1631532907485962
16071,0.1102573424577713
16267,0.11221687495708466
16463,0.04813043773174286
16659,0.08387494832277298
16855,0.050367213785648346
17051,0.014738958328962326
17247,0.08200640976428986
17443,0.12884017825126648
17639,0.06354343146085739
17835,0.1714722216129303
18031,0.11772403866052628
18227,0.0252506323158741
18423,0.03666039556264877
18619,0.015268516726791859
18815,0.06127464771270752
19011,0.05019931122660637
19207,0.053341202437877655
19403,0.019252020865678787
19599,0.008205652236938477
19795,0.09498444944620132
19991,0.09550920873880386
20187,0.013915032148361206
20383,0.032044947147369385
20579,0.07178587466478348
20775,0.06750854849815369
20971,0.04581323266029358
21167,0.11836661398410797
21363,0.023036159574985504
21559,0.02398849092423916
21755,0.0312031339854002
21951,0.06598930060863495
22147,0.022228384390473366
22343,0.04867055267095566
22539,0.04656672477722168
22735,0.039510808885097504
22931,0.06940697133541107
23127,0.08616974949836731
23323,0.011920075863599777
23519,0.01303089875727892
23715,0.009550747461616993
23911,0.1429663747549057
24107,0.03660058230161667
24303,0.08313854783773422
24499,0.04681555554270744
24695,0.019807010889053345
24891,0.13914647698402405
25087,0.029001638293266296
25283,0.15470339357852936
25479,0.057944461703300476
25675,0.00787999015301466
25871,0.015350806526839733
26067,0.11604644358158112
26263,0.033899154514074326
26459,0.06333138048648834
26655,0.019267447292804718
26851,0.023959141224622726
27047,0.034792572259902954
27243,0.049638379365205765
27439,0.04979075491428375
27635,0.03617402911186218
27831,0.0694899782538414
28027,0.04314802214503288
28223,0.1517760455608368
28419,0.028068192303180695
28615,0.051919929683208466
28811,0.06111318618059158
29007,0.0273437537252903
29203,0.07768130302429199
29399,0.11792555451393127
29595,0.02836449444293976
