,events.out.tfevents.1558245851.gpu2.cse.cuhk.edu.hk
195,46.33000183105469
391,59.630001068115234
587,67.81999969482422
783,72.88999938964844
979,76.16000366210938
1175,77.29000091552734
1371,78.55999755859375
1567,80.04000091552734
1763,81.0199966430664
1959,81.44000244140625
2155,79.19000244140625
2351,81.6500015258789
2547,81.33000183105469
2743,81.11000061035156
2939,82.02999877929688
3135,82.55000305175781
3331,83.02999877929688
3527,83.2300033569336
3723,82.44000244140625
3919,80.70999908447266
4115,83.5
4311,83.33000183105469
4507,82.06999969482422
4703,84.3499984741211
4899,83.91000366210938
5095,82.93000030517578
5291,83.86000061035156
5487,84.22000122070312
5683,84.16000366210938
5879,84.0999984741211
6075,83.02999877929688
6271,84.12999725341797
6467,85.06999969482422
6663,84.38999938964844
6859,82.38999938964844
7055,83.79000091552734
7251,84.48999786376953
7447,84.62999725341797
7643,83.27999877929688
7839,84.0999984741211
8035,81.76000213623047
8231,84.27999877929688
8427,84.80000305175781
8623,84.0199966430664
8819,85.4000015258789
9015,84.69000244140625
9211,81.56999969482422
9407,83.75
9603,84.41000366210938
9799,84.23999786376953
9995,89.54000091552734
10191,90.13999938964844
10387,90.2699966430664
10583,90.25
10779,90.4800033569336
10975,90.4800033569336
11171,90.98999786376953
11367,90.6500015258789
11563,91.66000366210938
11759,91.18000030517578
11955,90.69000244140625
12151,90.87000274658203
12347,91.2699966430664
12543,91.29000091552734
12739,91.31999969482422
12935,91.06999969482422
13131,90.94000244140625
13327,91.19000244140625
13523,91.2699966430664
13719,91.37999725341797
13915,91.95999908447266
14111,91.91999816894531
14307,92.23999786376953
14503,91.93000030517578
14699,92.58000183105469
14895,92.02999877929688
15091,91.77999877929688
15287,92.33000183105469
15483,92.30000305175781
15679,92.08999633789062
15875,91.75
16071,92.1500015258789
16267,92.4000015258789
16463,92.30999755859375
16659,92.77999877929688
16855,92.52999877929688
17051,92.18000030517578
17247,92.30999755859375
17443,92.55999755859375
17639,92.47000122070312
17835,91.7300033569336
18031,92.54000091552734
18227,92.55000305175781
18423,92.13999938964844
18619,92.16999816894531
18815,91.8499984741211
19011,92.38999938964844
19207,92.3499984741211
19403,92.58000183105469
19599,92.31999969482422
19795,92.80999755859375
19991,92.73999786376953
20187,92.80999755859375
20383,92.86000061035156
20579,92.77999877929688
20775,92.75
20971,92.29000091552734
21167,92.87999725341797
21363,92.55000305175781
21559,92.66000366210938
21755,92.95999908447266
21951,92.86000061035156
22147,92.95999908447266
22343,92.72000122070312
22539,92.66999816894531
22735,92.73999786376953
22931,92.7699966430664
23127,92.7699966430664
23323,92.93000030517578
23519,92.80000305175781
23715,92.80999755859375
23911,92.61000061035156
24107,92.4800033569336
24303,92.80000305175781
24499,92.7300033569336
24695,92.76000213623047
24891,92.3499984741211
25087,92.83999633789062
25283,93.12000274658203
25479,93.08000183105469
25675,92.29000091552734
25871,92.73999786376953
26067,92.52999877929688
26263,92.97000122070312
26459,92.83999633789062
26655,92.8499984741211
26851,92.87999725341797
27047,93.19000244140625
27243,93.11000061035156
27439,92.80000305175781
27635,92.83999633789062
27831,92.81999969482422
28027,93.02999877929688
28223,92.54000091552734
28419,92.30000305175781
28615,93.12999725341797
28811,92.48999786376953
29007,93.05999755859375
29203,92.94999694824219
29399,93.05000305175781
29595,92.87000274658203
