,events.out.tfevents.1557891510.gpu1.cse.cuhk.edu.hk
195,43.470001220703125
391,56.52000045776367
587,63.11000061035156
783,68.51000213623047
979,72.33999633789062
1175,75.30999755859375
1371,74.04000091552734
1567,78.33000183105469
1763,78.20999908447266
1959,79.87000274658203
2155,78.7300033569336
2351,78.75
2547,78.2699966430664
2743,79.30999755859375
2939,80.81999969482422
3135,80.68000030517578
3331,81.0999984741211
3527,81.83999633789062
3723,80.08000183105469
3919,80.0199966430664
4115,83.94000244140625
4311,79.30999755859375
4507,82.6500015258789
4703,80.9000015258789
4899,83.08999633789062
5095,82.69000244140625
5291,81.51000213623047
5487,81.26000213623047
5683,83.30999755859375
5879,82.68000030517578
6075,82.55999755859375
6271,81.62999725341797
6467,83.13999938964844
6663,79.04000091552734
6859,81.06999969482422
7055,82.81999969482422
7251,80.19000244140625
7447,81.33999633789062
7643,82.62999725341797
7839,81.52999877929688
8035,82.25
8231,81.79000091552734
8427,83.05000305175781
8623,81.86000061035156
8819,82.6500015258789
9015,82.2699966430664
9211,83.16000366210938
9407,81.70999908447266
9603,81.97000122070312
9799,82.05000305175781
9995,87.63999938964844
10191,88.54000091552734
10387,88.7699966430664
10583,89.30999755859375
10779,89.36000061035156
10975,89.2699966430664
11171,89.5
11367,89.68000030517578
11563,89.5199966430664
11759,89.9000015258789
11955,89.7699966430664
12151,90.36000061035156
12347,89.97000122070312
12543,90.12999725341797
12739,89.94000244140625
12935,89.5999984741211
13131,90.44000244140625
13327,90.68000030517578
13523,90.31999969482422
13719,90.56999969482422
13915,90.04000091552734
14111,89.94000244140625
14307,90.01000213623047
14503,90.51000213623047
14699,90.69000244140625
14895,90.11000061035156
15091,90.73999786376953
15287,90.69000244140625
15483,90.98999786376953
15679,91.0999984741211
15875,91.51000213623047
16071,91.48999786376953
16267,91.16000366210938
16463,90.91999816894531
16659,91.52999877929688
16855,91.58000183105469
17051,91.4800033569336
17247,91.54000091552734
17443,91.20999908447266
17639,91.5199966430664
17835,91.91999816894531
18031,91.61000061035156
18227,91.29000091552734
18423,91.58000183105469
18619,91.73999786376953
18815,91.6500015258789
19011,91.91000366210938
19207,91.7300033569336
19403,91.63999938964844
19599,91.41999816894531
19795,91.73999786376953
19991,92.01000213623047
20187,91.0
20383,91.5199966430664
20579,92.0
20775,91.72000122070312
20971,91.66999816894531
21167,92.13999938964844
21363,91.68000030517578
21559,91.95999908447266
21755,92.16999816894531
21951,91.63999938964844
22147,91.47000122070312
22343,91.95999908447266
22539,91.62000274658203
22735,91.75
22931,91.94000244140625
23127,92.18000030517578
23323,91.66999816894531
23519,92.12999725341797
23715,91.66000366210938
23911,92.04000091552734
24107,92.02999877929688
24303,92.02999877929688
24499,91.98999786376953
24695,92.54000091552734
24891,92.08000183105469
25087,92.22000122070312
25283,92.02999877929688
25479,92.3499984741211
25675,91.79000091552734
25871,91.87999725341797
26067,91.91000366210938
26263,91.94000244140625
26459,91.97000122070312
26655,92.0199966430664
26851,91.54000091552734
27047,92.05999755859375
27243,92.61000061035156
27439,91.5999984741211
27635,92.29000091552734
27831,92.08999633789062
28027,92.55999755859375
28223,92.2699966430664
28419,92.36000061035156
28615,92.55000305175781
28811,92.05999755859375
29007,92.41000366210938
29203,92.29000091552734
29399,92.54000091552734
29595,92.70999908447266
