,events.out.tfevents.1556415891.gpu2.cse.cuhk.edu.hk,events.out.tfevents.1556506403.gpu2.cse.cuhk.edu.hk
195,58.380001068115234,56.529998779296875
391,66.55000305175781,65.25
587,73.30999755859375,72.76000213623047
783,73.83999633789062,73.55999755859375
979,77.0,76.61000061035156
1175,78.9000015258789,77.75
1371,76.94000244140625,74.66999816894531
1567,80.26000213623047,79.08000183105469
1763,80.69999694824219,80.30000305175781
1959,80.02999877929688,80.72000122070312
2155,80.1500015258789,78.79000091552734
2351,81.26000213623047,81.81999969482422
2547,81.3499984741211,81.01000213623047
2743,79.55000305175781,82.56999969482422
2939,82.93000030517578,79.20999908447266
3135,82.47000122070312,82.45999908447266
3331,82.20999908447266,83.41999816894531
3527,80.83999633789062,81.7699966430664
3723,82.76000213623047,81.9800033569336
3919,81.33000183105469,81.62999725341797
4115,82.44000244140625,81.70999908447266
4311,82.72000122070312,83.31999969482422
4507,81.58000183105469,82.05999755859375
4703,83.16999816894531,82.33999633789062
4899,82.33999633789062,83.37999725341797
5095,82.25,83.83999633789062
5291,83.55999755859375,83.16999816894531
5487,81.3499984741211,83.70999908447266
5683,83.19000244140625,82.70999908447266
5879,83.51000213623047,81.58000183105469
6075,83.2300033569336,83.94000244140625
6271,82.04000091552734,83.55000305175781
6467,83.33000183105469,83.30999755859375
6663,81.04000091552734,83.06999969482422
6859,81.33000183105469,80.08999633789062
7055,83.37999725341797,84.12999725341797
7251,82.16999816894531,82.5999984741211
7447,83.9800033569336,83.02999877929688
7643,84.05999755859375,81.91999816894531
7839,83.9800033569336,83.80000305175781
8035,82.97000122070312,83.62999725341797
8231,82.86000061035156,84.08000183105469
8427,82.7300033569336,83.0
8623,83.69999694824219,83.5
8819,84.37999725341797,84.87000274658203
9015,82.93000030517578,84.16000366210938
9211,83.66000366210938,83.55999755859375
9407,83.08000183105469,84.62999725341797
9603,82.02999877929688,82.62000274658203
9799,84.0,84.0199966430664
9995,88.4000015258789,88.19000244140625
10191,88.75,88.5999984741211
10387,88.66999816894531,88.58999633789062
10583,88.91999816894531,89.2300033569336
10779,88.8499984741211,89.05999755859375
10975,89.12000274658203,89.11000061035156
11171,88.87999725341797,89.13999938964844
11367,88.87000274658203,88.94000244140625
11563,89.22000122070312,89.44000244140625
11759,88.95999908447266,89.04000091552734
11955,89.20999908447266,89.05999755859375
12151,88.91000366210938,89.23999786376953
12347,89.33999633789062,89.19999694824219
12543,89.33999633789062,89.54000091552734
12739,89.11000061035156,89.1500015258789
12935,89.13999938964844,89.93000030517578
13131,88.75,89.37000274658203
13327,88.72000122070312,89.72000122070312
13523,89.08999633789062,89.69999694824219
13719,89.2699966430664,89.55000305175781
13915,89.18000030517578,89.93000030517578
14111,89.05999755859375,89.58999633789062
14307,89.45999908447266,89.76000213623047
14503,89.4000015258789,90.23999786376953
14699,89.25,89.9800033569336
14895,89.18000030517578,89.72000122070312
15091,89.33000183105469,89.8499984741211
15287,89.2699966430664,90.08999633789062
15483,89.27999877929688,89.8499984741211
15679,89.5199966430664,89.66999816894531
15875,89.18000030517578,89.94000244140625
16071,89.44999694824219,89.69999694824219
16267,89.62999725341797,90.0999984741211
16463,89.47000122070312,89.77999877929688
16659,89.19000244140625,89.75
16855,89.58000183105469,89.69999694824219
17051,89.2699966430664,89.95999908447266
17247,89.36000061035156,89.25
17443,88.94000244140625,89.73999786376953
17639,89.41000366210938,89.79000091552734
17835,89.19999694824219,89.8499984741211
18031,89.33999633789062,89.63999938964844
18227,89.76000213623047,89.7300033569336
18423,89.3499984741211,89.70999908447266
18619,89.30999755859375,89.87999725341797
18815,89.22000122070312,89.80000305175781
19011,89.36000061035156,89.68000030517578
19207,89.44999694824219,89.7300033569336
19403,89.61000061035156,89.76000213623047
19599,89.45999908447266,89.7699966430664
19795,89.3499984741211,89.5999984741211
