,events.out.tfevents.1556782855.gpu4.cse.cuhk.edu.hk
195,1.5506882667541504
391,1.1690113544464111
587,0.8336180448532104
783,0.9428287744522095
979,0.833938717842102
1175,0.7077789902687073
1371,0.8625909686088562
1567,0.8256562352180481
1763,0.7128564119338989
1959,0.5004681348800659
2155,0.6203212738037109
2351,1.0881867408752441
2547,0.6939852237701416
2743,0.7109006643295288
2939,0.5641448497772217
3135,0.6208823919296265
3331,0.7070017457008362
3527,0.8534027934074402
3723,0.5701600313186646
3919,0.5012224912643433
4115,0.4799439013004303
4311,0.3953084349632263
4507,0.4601856470108032
4703,0.5680592656135559
4899,0.488994300365448
5095,0.3928757905960083
5291,0.4023916721343994
5487,0.6393646001815796
5683,0.3843413293361664
5879,0.6286048889160156
6075,0.7233378887176514
6271,0.40171223878860474
6467,0.9082459211349487
6663,0.46537184715270996
6859,0.33750760555267334
7055,0.6634141206741333
7251,0.36734098196029663
7447,0.295952171087265
7643,0.41942426562309265
7839,0.369709849357605
8035,0.6492992639541626
8231,0.528101921081543
8427,0.43579405546188354
8623,0.2966257333755493
8819,0.5538386106491089
9015,0.47221776843070984
9211,0.5493583083152771
9407,0.42162007093429565
9603,0.4541999101638794
9799,0.5191983580589294
9995,0.3207370638847351
10191,0.23273822665214539
10387,0.15620140731334686
10583,0.3283141851425171
10779,0.13336843252182007
10975,0.07801394164562225
11171,0.23982131481170654
11367,0.10865326970815659
11563,0.24352595210075378
11759,0.16759169101715088
11955,0.19970452785491943
12151,0.20141535997390747
12347,0.027359068393707275
12543,0.0541137233376503
12739,0.2542136013507843
12935,0.11493441462516785
13131,0.11580546200275421
13327,0.13465535640716553
13523,0.07331163436174393
13719,0.12454712390899658
13915,0.030195195227861404
14111,0.034025758504867554
14307,0.07213491201400757
14503,0.1407495141029358
14699,0.04154219478368759
14895,0.0252350103110075
15091,0.11621717363595963
15287,0.11879078298807144
15483,0.05512949824333191
15679,0.02870701253414154
15875,0.07184470444917679
16071,0.1580604612827301
16267,0.11174014210700989
16463,0.12379714846611023
16659,0.06958386301994324
16855,0.0577535480260849
17051,0.011910228058695793
17247,0.13558948040008545
17443,0.02852802351117134
17639,0.15972238779067993
17835,0.08339103311300278
18031,0.03968341648578644
18227,0.09429305046796799
18423,0.0733853355050087
18619,0.006625551264733076
18815,0.107518270611763
19011,0.05345948785543442
19207,0.007939261384308338
19403,0.006974542513489723
19599,0.06155896186828613
19795,0.042442597448825836
19991,0.06058395281434059
20187,0.07765626907348633
20383,0.02910054847598076
20579,0.08690083026885986
20775,0.03894267603754997
20971,0.06616305559873581
21167,0.09466259181499481
21363,0.06533661484718323
21559,0.00963048916310072
21755,0.037111442536115646
21951,0.05445054545998573
22147,0.01987793669104576
22343,0.03788311779499054
22539,0.15535113215446472
22735,0.010773438960313797
22931,0.042499884963035583
23127,0.042478855699300766
23323,0.04397944360971451
23519,0.07553922384977341
23715,0.01058429479598999
23911,0.11936894059181213
24107,0.1045181155204773
24303,0.07900069653987885
24499,0.0793328583240509
24695,0.01726960577070713
24891,0.0450463630259037
25087,0.006309688091278076
25283,0.032126907259225845
25479,0.03935512900352478
25675,0.11028339713811874
25871,0.10338280349969864
26067,0.01887986622750759
26263,0.003414636943489313
26459,0.059577904641628265
26655,0.05360421538352966
26851,0.020964376628398895
27047,0.00905850250273943
27243,0.023792754858732224
27439,0.15407605469226837
27635,0.019009793177247047
27831,0.028832323849201202
28027,0.07145603001117706
28223,0.04162977263331413
28419,0.04930386692285538
28615,0.009251576848328114
28811,0.034495219588279724
29007,0.07928524911403656
29203,0.02485899068415165
29399,0.011682551354169846
29595,0.08382615447044373
