,events.out.tfevents.1556950521.gpu17
195,18.5
391,25.09000015258789
587,33.119998931884766
783,42.650001525878906
979,51.97999954223633
1175,60.900001525878906
1371,67.12999725341797
1567,69.3499984741211
1763,74.2699966430664
1959,67.44000244140625
2155,75.0
2351,79.19999694824219
2547,78.5199966430664
2743,79.88999938964844
2939,79.81999969482422
3135,79.91999816894531
3331,81.4000015258789
3527,82.38999938964844
3723,83.27999877929688
3919,81.58999633789062
4115,83.8499984741211
4311,82.44000244140625
4507,83.36000061035156
4703,78.47000122070312
4899,84.45999908447266
5095,81.2699966430664
5291,85.19999694824219
5487,84.33000183105469
5683,84.69000244140625
5879,83.37999725341797
6075,83.94999694824219
6271,85.01000213623047
6467,85.9000015258789
6663,84.48999786376953
6859,83.51000213623047
7055,86.08000183105469
7251,85.06999969482422
7447,84.2300033569336
7643,85.44000244140625
7839,85.61000061035156
8035,86.20999908447266
8231,84.91000366210938
8427,86.45999908447266
8623,82.37000274658203
8819,85.70999908447266
9015,84.45999908447266
9211,85.56999969482422
9407,85.98999786376953
9603,86.51000213623047
9799,86.4000015258789
9995,91.62999725341797
10191,91.66000366210938
10387,91.87999725341797
10583,92.16999816894531
10779,92.23999786376953
10975,92.25
11171,92.08000183105469
11367,92.43000030517578
11563,92.47000122070312
11759,92.20999908447266
11955,92.36000061035156
12151,92.47000122070312
12347,92.31999969482422
12543,92.23999786376953
12739,92.08000183105469
12935,92.12000274658203
13131,92.43000030517578
13327,92.18000030517578
13523,92.30000305175781
13719,91.56999969482422
13915,92.2699966430664
14111,92.13999938964844
14307,92.19999694824219
14503,92.44999694824219
14699,92.30000305175781
14895,92.43000030517578
15091,92.45999908447266
15287,92.54000091552734
15483,92.63999938964844
15679,92.79000091552734
15875,92.4800033569336
16071,92.44000244140625
16267,92.54000091552734
16463,92.38999938964844
16659,92.52999877929688
16855,92.68000030517578
17051,92.44000244140625
17247,92.29000091552734
17443,92.62999725341797
17639,92.44999694824219
17835,92.54000091552734
18031,92.54000091552734
18227,92.41999816894531
18423,92.26000213623047
18619,92.2699966430664
18815,92.23999786376953
19011,92.47000122070312
19207,92.26000213623047
19403,92.58000183105469
19599,92.22000122070312
19795,92.18000030517578
19991,92.37000274658203
20187,92.27999877929688
20383,92.23999786376953
20579,92.2699966430664
20775,92.27999877929688
20971,92.22000122070312
21167,92.36000061035156
21363,92.63999938964844
21559,91.88999938964844
21755,92.18000030517578
21951,92.30000305175781
22147,91.95999908447266
22343,92.30000305175781
22539,92.37999725341797
22735,92.29000091552734
22931,92.68000030517578
23127,92.47000122070312
23323,92.55999755859375
23519,92.23999786376953
23715,92.30000305175781
23911,92.47000122070312
24107,92.30000305175781
24303,92.45999908447266
24499,92.5
24695,92.4000015258789
24891,92.13999938964844
25087,92.62000274658203
25283,92.08000183105469
25479,92.38999938964844
25675,92.3499984741211
25871,92.30999755859375
26067,92.1500015258789
26263,92.20999908447266
26459,92.33000183105469
26655,92.1500015258789
26851,92.26000213623047
27047,92.31999969482422
27243,92.2300033569336
27439,91.87999725341797
27635,92.08000183105469
27831,92.08999633789062
28027,92.23999786376953
28223,92.29000091552734
28419,92.5
28615,92.41000366210938
28811,91.98999786376953
29007,92.19999694824219
29203,92.3499984741211
29399,92.05000305175781
29595,92.22000122070312
