,events.out.tfevents.1556959061.gpu6.cse.cuhk.edu.hk
195,31.040000915527344
391,42.349998474121094
587,57.02000045776367
783,56.41999816894531
979,62.099998474121094
1175,68.7300033569336
1371,66.26000213623047
1567,70.44999694824219
1763,72.30999755859375
1959,72.36000061035156
2155,71.97000122070312
2351,75.30000305175781
2547,71.19000244140625
2743,75.75
2939,79.91999816894531
3135,72.2300033569336
3331,77.51000213623047
3527,81.08000183105469
3723,71.9800033569336
3919,82.51000213623047
4115,77.83000183105469
4311,81.37999725341797
4507,80.51000213623047
4703,83.08999633789062
4899,83.48999786376953
5095,77.18000030517578
5291,78.4800033569336
5487,81.4800033569336
5683,83.83999633789062
5879,79.75
6075,81.58999633789062
6271,82.16000366210938
6467,82.19999694824219
6663,81.73999786376953
6859,83.44999694824219
7055,85.52999877929688
7251,84.04000091552734
7447,82.80000305175781
7643,84.2699966430664
7839,83.58000183105469
8035,83.88999938964844
8231,81.97000122070312
8427,83.66000366210938
8623,82.2699966430664
8819,84.4000015258789
9015,85.33999633789062
9211,84.83000183105469
9407,85.87000274658203
9603,84.94000244140625
9799,83.83999633789062
9995,86.52999877929688
10191,88.27999877929688
10387,85.26000213623047
10583,88.19999694824219
10779,88.33000183105469
10975,88.91999816894531
11171,85.19999694824219
11367,88.83000183105469
11563,88.91999816894531
11759,88.29000091552734
11955,88.75
12151,88.22000122070312
12347,89.05999755859375
12543,88.38999938964844
12739,88.22000122070312
12935,88.2699966430664
13131,88.5999984741211
13327,88.9000015258789
13523,82.61000061035156
13719,88.77999877929688
13915,89.9000015258789
14111,90.04000091552734
14307,89.06999969482422
14503,88.9000015258789
14699,88.45999908447266
14895,89.4800033569336
15091,90.29000091552734
15287,89.77999877929688
15483,90.44999694824219
15679,88.44000244140625
15875,89.56999969482422
16071,90.37000274658203
16267,89.88999938964844
16463,89.94000244140625
16659,90.02999877929688
16855,90.08000183105469
17051,90.44000244140625
17247,90.18000030517578
17443,90.16000366210938
17639,90.1500015258789
17835,90.55000305175781
18031,90.55999755859375
18227,90.55999755859375
18423,90.52999877929688
18619,90.61000061035156
18815,90.38999938964844
19011,90.62999725341797
19207,90.19000244140625
19403,90.41000366210938
19599,90.33999633789062
19795,90.33999633789062
19991,90.33000183105469
20187,90.66000366210938
20383,90.7699966430664
20579,90.13999938964844
20775,90.61000061035156
20971,89.95999908447266
21167,90.41999816894531
21363,90.45999908447266
21559,90.48999786376953
21755,90.51000213623047
21951,90.38999938964844
22147,90.2300033569336
22343,90.6500015258789
22539,90.66000366210938
22735,90.56999969482422
22931,90.77999877929688
23127,90.58000183105469
23323,90.79000091552734
23519,90.63999938964844
23715,90.7300033569336
23911,90.51000213623047
24107,90.51000213623047
24303,90.58000183105469
24499,90.3499984741211
24695,90.55000305175781
24891,90.27999877929688
25087,90.38999938964844
25283,90.52999877929688
25479,90.41999816894531
25675,90.52999877929688
25871,90.41999816894531
26067,90.41000366210938
26263,90.37000274658203
26459,90.5199966430664
26655,90.38999938964844
26851,90.2300033569336
27047,90.55999755859375
27243,90.4000015258789
27439,90.72000122070312
27635,90.56999969482422
27831,90.54000091552734
28027,90.5999984741211
28223,90.43000030517578
28419,90.79000091552734
28615,90.45999908447266
28811,90.4800033569336
29007,90.68000030517578
29203,90.6500015258789
29399,90.22000122070312
29595,90.37000274658203
